zipcode,rate,New Row,New Row,New Row
64148,,11029,11029,11029
67118,,11029,11029,11029
40813,,11029,11029,11029
18229,,11029,11029,11029
51012,,11029,11029,11029
79168,,11029,11029,11029
54923,,11029,11029,11029
67651,,11029,11029,11029
49448,,11029,11029,11029
27702,,11029,11029,11029
47387,,11029,11029,11029
50014,,11029,11029,11029
33608,,11029,11029,11029
06239,,11029,11029,11029
54919,,11029,11029,11029
46706,,11029,11029,11029
14846,,11029,11029,11029
48872,,11029,11029,11029
43343,,11029,11029,11029
77052,,11029,11029,11029
07734,,11029,11029,11029
95327,,11029,11029,11029
12961,,11029,11029,11029
26716,,11029,11029,11029
48435,,11029,11029,11029
53181,,11029,11029,11029
52654,,11029,11029,11029
58703,,11029,11029,11029
91945,,11029,11029,11029
52146,,11029,11029,11029
56097,,11029,11029,11029
21777,,11029,11029,11029
42330,,11029,11029,11029
38849,,11029,11029,11029
77586,,11029,11029,11029
39745,,11029,11029,11029
03299,,11029,11029,11029
63359,,11029,11029,11029
60094,,11029,11029,11029
15935,,11029,11029,11029
39845,,11029,11029,11029
48418,,11029,11029,11029
28411,,11029,11029,11029
37333,,11029,11029,11029
75939,,11029,11029,11029
07184,,11029,11029,11029
86313,,11029,11029,11029
61232,,11029,11029,11029
20047,,11029,11029,11029
47452,,11029,11029,11029
31551,,11029,11029,11029
